connection,kind,members,x_mm,y_mm,z_mm,axis_x,axis_y,axis_z,length_mm,length_in,diameter_mm,grip_mm,status
angle_rib_2_mid_right_rib_1,bolt,angle_rib_2_mid_right + rib_2_mid_right,720.55,665.7611453025492,1197.1195871905609,-1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_mid_right_rib_2,bolt,angle_rib_2_mid_right + rib_2_mid_right,720.55,710.7562779806069,1250.7426982088894,-1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_mid_right_beam_1,bolt,rear_cross_2 + angle_rib_2_mid_right,750.55,623.087480643231,1278.6162985938074,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_2_mid_right_beam_2,bolt,rear_cross_2 + angle_rib_2_mid_right,778.55,623.087480643231,1278.6162985938074,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
rib_3_seam_left_front,screw,panel_seam_vertical_upper + rib_3_seam_left,-54.0,1273.0700476875331,1791.640396505883,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_seam_left_rib_1,bolt,angle_rib_3_seam_left + rib_3_seam_left,-93.75,1145.1521446067702,1768.4355328686947,1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_seam_left_rib_2,bolt,angle_rib_3_seam_left + rib_3_seam_left,-93.75,1235.1424099628855,1875.6817549053517,1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_seam_left_beam_1,bolt,rear_cross_3 + angle_rib_3_seam_left,-123.75,1124.9760462864806,1876.7437997811055,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_seam_left_beam_2,bolt,rear_cross_3 + angle_rib_3_seam_left,-151.75,1124.9760462864806,1876.7437997811055,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
rib_3_seam_right_front,screw,panel_seam_vertical_upper + rib_3_seam_right,54.0,1253.7864193969367,1768.6590632123139,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_seam_right_rib_1,bolt,angle_rib_3_seam_right + rib_3_seam_right,93.75,1167.649710945799,1795.247088377859,-1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_seam_right_rib_2,bolt,angle_rib_3_seam_right + rib_3_seam_right,93.75,1212.6448436238568,1848.8701993961874,-1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_seam_right_beam_1,bolt,rear_cross_3 + angle_rib_3_seam_right,123.75,1124.9760462864806,1876.7437997811055,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_seam_right_beam_2,bolt,rear_cross_3 + angle_rib_3_seam_right,151.75,1124.9760462864806,1876.7437997811055,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
rib_3_mid_left_front,screw,mid_upper_left + rib_3_mid_left,-519.2,1253.7864193969367,1768.6590632123139,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_mid_left_rib_1,bolt,angle_rib_3_mid_left + rib_3_mid_left,-558.95,1167.649710945799,1795.247088377859,1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_mid_left_rib_2,bolt,angle_rib_3_mid_left + rib_3_mid_left,-558.95,1212.6448436238568,1848.8701993961874,1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_mid_left_beam_1,bolt,rear_cross_3 + angle_rib_3_mid_left,-588.95,1124.9760462864806,1876.7437997811055,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_mid_left_beam_2,bolt,rear_cross_3 + angle_rib_3_mid_left,-616.95,1124.9760462864806,1876.7437997811055,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
rib_3_mid_right_front,screw,mid_upper_right + rib_3_mid_right,680.8,1253.7864193969367,1768.6590632123139,0.0,-0.766044443118978,0.6427876096865393,88.9,3.5000000000000004,4.826,0.0,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_mid_right_rib_1,bolt,angle_rib_3_mid_right + rib_3_mid_right,720.55,1167.649710945799,1795.247088377859,-1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_mid_right_rib_2,bolt,angle_rib_3_mid_right + rib_3_mid_right,720.55,1212.6448436238568,1848.8701993961874,-1.0,0.0,0.0,88.9,3.5000000000000004,9.525,69.5,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_mid_right_beam_1,bolt,rear_cross_3 + angle_rib_3_mid_right,750.55,1124.9760462864806,1876.7437997811055,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
angle_rib_3_mid_right_beam_2,bolt,rear_cross_3 + angle_rib_3_mid_right,778.55,1124.9760462864806,1876.7437997811055,-0.0,0.766044443118978,-0.6427876096865393,63.5,2.5,9.525,44.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
leg_stitch_left_1,bolt,leg_left_inner + leg_left_outer,-1255.3,971.0333737790937,1134.3443559823804,-1.0,0.0,0.0,57.15,2.25,9.525,38.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
leg_stitch_left_2,bolt,leg_left_inner + leg_left_outer,-1255.3,1133.3952540938872,708.9652224889878,-1.0,0.0,0.0,57.15,2.25,9.525,38.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
leg_stitch_left_3,bolt,leg_left_inner + leg_left_outer,-1255.3,1295.7571344086807,283.586088995595,-1.0,0.0,0.0,57.15,2.25,9.525,38.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
leg_stitch_right_1,bolt,leg_right_inner + leg_right_outer,1255.3,971.0333737790937,1134.3443559823804,1.0,0.0,0.0,57.15,2.25,9.525,38.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
leg_stitch_right_2,bolt,leg_right_inner + leg_right_outer,1255.3,1133.3952540938872,708.9652224889878,1.0,0.0,0.0,57.15,2.25,9.525,38.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
leg_stitch_right_3,bolt,leg_right_inner + leg_right_outer,1255.3,1295.7571344086807,283.586088995595,1.0,0.0,0.0,57.15,2.25,9.525,38.1,PROVISIONAL — independent-ply experiment; candidate FEA not run
