connection,panel,receiver,provenance,purpose,direction_xyz,x_mm,panel_s_or_z_mm,grain_station_mm,receiver_low_end_distance_mm,receiver_high_end_distance_mm,receiver_face_edge_distance_mm,nearest_panel_edge_mm,gross_penetration_mm,nominal_embedded_thread_mm,future_insert_reserve_passed_historical,maximum_withdrawal_n,withdrawal_case,maximum_lateral_n,lateral_case,proven_removable,candidate_300_action,candidate_remove_all_infill_action,nearest_same_panel_receiver_spacing_mm,nearest_all_panel_same_receiver_spacing_mm
timber_panel_lower_right_1,main_lower_right,base_principal_center_right,original,Original center panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",70.0,80.00000000000003,240.78982272741172,95.10379336119153,2320.3,19.050000000000093,70.0,32.543749999999996,31.496,True,49.421768185218646,f10-k1000,62.985561792020995,f10-k1000,False,keep,keep,115.46666666666658,115.46666666666658
timber_panel_lower_right_2,main_lower_right,base_principal_center_right,original,Original center panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",70.0,1179.2,1339.9898227274116,1194.3037933611954,1221.1000000000004,19.050000000000093,40.0,32.543749999999996,31.496,True,0.0,c10-k1000,155.5417569264617,c10-k10000,False,keep,keep,115.4666666666667,115.4666666666667
timber_panel_lower_right_3,main_lower_right,base_side_right,original,Outer panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",1200.15,60.00000000000006,220.78982272741175,75.10379336119148,2378.4,19.050000000000068,19.049999999999955,32.543749999999996,31.496,True,0.0,c10-k1000,297.36681682481486,f10-k1000,False,keep,keep,346.39999999999975,346.39999999999975
timber_panel_lower_right_4,main_lower_right,base_side_right,original,Outer panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",1200.15,1159.1999999999998,1319.9898227274116,1174.3037933611954,1279.2000000000003,19.050000000000068,19.049999999999955,32.543749999999996,31.496,True,52.38532853203567,c10-k100,234.53261108961766,c10-k10000,False,keep,keep,346.4000000000002,120.00000000000023
timber_panel_lower_right_5,main_lower_right,base_principal_center_right,original,Original center panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",70.0,426.39999999999975,587.1898227274115,441.5037933611926,1973.9000000000005,19.050000000000093,70.0,32.543749999999996,31.496,True,6.0734113576399,c10-k100,65.84177714502515,c10-k10000,False,keep,keep,115.46666666666664,115.46666666666664
timber_panel_lower_right_6,main_lower_right,base_principal_center_right,original,Original center panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",70.0,832.7999999999998,993.5898227274116,847.9037933611942,1567.5000000000005,19.050000000000093,70.0,32.543749999999996,31.496,True,2.2737667373517367,c10-300lb,40.43197668511936,c10-k10000,False,keep,keep,115.46666666666681,115.46666666666681
timber_panel_lower_right_7,main_lower_right,base_side_right,original,Outer panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",1200.15,406.39999999999975,567.1898227274115,421.50379336119255,2032.0000000000005,19.050000000000068,19.049999999999955,32.543749999999996,31.496,True,22.03761741955615,f10-k1000,248.600209438295,c10-k10000,False,keep,keep,346.39999999999975,346.39999999999975
timber_panel_lower_right_8,main_lower_right,base_side_right,original,Outer panel-edge retention,"[0.0, -0.766044443118978, 0.6427876096865393]",1200.15,812.7999999999996,973.5898227274114,827.903793361194,1625.6000000000004,19.050000000000068,19.049999999999955,32.543749999999996,31.496,True,39.036729620450615,f10-k1000,117.26193479622474,c10-k10000,False,keep,keep,346.4000000000002,346.4000000000002
timber_panel_lower_right_9,main_lower_right,base_rail_bottom_right,original,Panel top/bottom edge attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",365.75000000000006,59.0499999999999,365.75000000000006,276.7000000000001,815.3500000000001,19.050000000000612,59.0499999999999,32.543749999999996,31.496,True,10.527981127124372,c10-refined,193.27007416857717,f10-k1000,False,keep,keep,400.7,400.7
timber_panel_lower_right_10,main_lower_right,base_rail_bottom_right,original,Panel top/bottom edge attachment,"[0.0, -0.766044443118978, 0.6427876096865393]",766.45,59.0499999999999,766.45,677.4000000000001,414.6500000000001,19.050000000000612,59.0499999999999,32.543749999999996,31.496,True,11.974473488649162,c10-k10000,210.65120525476058,f10-k1000,False,keep,keep,400.7,400.7
