feature,label,x_mm,y_mm,x_in,y_in
tnut,K1,2200.000,80.000,86.6142,3.1496
tnut,K2,2200.000,280.000,86.6142,11.0236
tnut,K3,2200.000,480.000,86.6142,18.8976
tnut,K4,2200.000,680.000,86.6142,26.7717
tnut,K5,2200.000,880.000,86.6142,34.6457
tnut,K6,2200.000,1080.000,86.6142,42.5197
tnut,K7,2200.000,1280.000,86.6142,50.3937
tnut,K8,2200.000,1480.000,86.6142,58.2677
tnut,K9,2200.000,1680.000,86.6142,66.1417
tnut,K10,2200.000,1880.000,86.6142,74.0157
tnut,K11,2200.000,2080.000,86.6142,81.8898
tnut,K12,2200.000,2280.000,86.6142,89.7638
led,A1,200.000,-20.000,7.8740,-0.7874
led,A2,200.000,180.000,7.8740,7.0866
led,A3,200.000,380.000,7.8740,14.9606
led,A4,200.000,580.000,7.8740,22.8346
led,A5,200.000,780.000,7.8740,30.7087
led,A6,200.000,980.000,7.8740,38.5827
led,A7,200.000,1180.000,7.8740,46.4567
led,A8,200.000,1380.000,7.8740,54.3307
led,A9,200.000,1580.000,7.8740,62.2047
led,A10,200.000,1780.000,7.8740,70.0787
led,A11,200.000,1980.000,7.8740,77.9528
led,A12,200.000,2180.000,7.8740,85.8268
led,B1,400.000,-20.000,15.7480,-0.7874
led,B2,400.000,180.000,15.7480,7.0866
led,B3,400.000,380.000,15.7480,14.9606
led,B4,400.000,580.000,15.7480,22.8346
led,B5,400.000,780.000,15.7480,30.7087
led,B6,400.000,980.000,15.7480,38.5827
led,B7,400.000,1180.000,15.7480,46.4567
led,B8,400.000,1380.000,15.7480,54.3307
led,B9,400.000,1580.000,15.7480,62.2047
led,B10,400.000,1780.000,15.7480,70.0787
led,B11,400.000,1980.000,15.7480,77.9528
led,B12,400.000,2180.000,15.7480,85.8268
led,C1,600.000,-20.000,23.6220,-0.7874
led,C2,600.000,180.000,23.6220,7.0866
led,C3,600.000,380.000,23.6220,14.9606
led,C4,600.000,580.000,23.6220,22.8346
led,C5,600.000,780.000,23.6220,30.7087
led,C6,600.000,980.000,23.6220,38.5827
led,C7,600.000,1180.000,23.6220,46.4567
led,C8,600.000,1380.000,23.6220,54.3307
led,C9,600.000,1580.000,23.6220,62.2047
led,C10,600.000,1780.000,23.6220,70.0787
led,C11,600.000,1980.000,23.6220,77.9528
led,C12,600.000,2180.000,23.6220,85.8268
led,D1,800.000,-20.000,31.4961,-0.7874
led,D2,800.000,180.000,31.4961,7.0866
led,D3,800.000,380.000,31.4961,14.9606
led,D4,800.000,580.000,31.4961,22.8346
led,D5,800.000,780.000,31.4961,30.7087
led,D6,800.000,980.000,31.4961,38.5827
led,D7,800.000,1180.000,31.4961,46.4567
led,D8,800.000,1380.000,31.4961,54.3307
led,D9,800.000,1580.000,31.4961,62.2047
led,D10,800.000,1780.000,31.4961,70.0787
led,D11,800.000,1980.000,31.4961,77.9528
led,D12,800.000,2180.000,31.4961,85.8268
led,E1,1000.000,-20.000,39.3701,-0.7874
led,E2,1000.000,180.000,39.3701,7.0866
led,E3,1000.000,380.000,39.3701,14.9606
led,E4,1000.000,580.000,39.3701,22.8346
led,E5,1000.000,780.000,39.3701,30.7087
led,E6,1000.000,980.000,39.3701,38.5827
led,E7,1000.000,1180.000,39.3701,46.4567
led,E8,1000.000,1380.000,39.3701,54.3307
led,E9,1000.000,1580.000,39.3701,62.2047
led,E10,1000.000,1780.000,39.3701,70.0787
led,E11,1000.000,1980.000,39.3701,77.9528
led,E12,1000.000,2180.000,39.3701,85.8268
led,F1,1200.000,-20.000,47.2441,-0.7874
led,F2,1200.000,180.000,47.2441,7.0866
led,F3,1200.000,380.000,47.2441,14.9606
led,F4,1200.000,580.000,47.2441,22.8346
led,F5,1200.000,780.000,47.2441,30.7087
led,F6,1200.000,980.000,47.2441,38.5827
led,F7,1200.000,1180.000,47.2441,46.4567
led,F8,1200.000,1380.000,47.2441,54.3307
led,F9,1200.000,1580.000,47.2441,62.2047
led,F10,1200.000,1780.000,47.2441,70.0787
led,F11,1200.000,1980.000,47.2441,77.9528
led,F12,1200.000,2180.000,47.2441,85.8268
led,G1,1400.000,-20.000,55.1181,-0.7874
led,G2,1400.000,180.000,55.1181,7.0866
led,G3,1400.000,380.000,55.1181,14.9606
led,G4,1400.000,580.000,55.1181,22.8346
led,G5,1400.000,780.000,55.1181,30.7087
led,G6,1400.000,980.000,55.1181,38.5827
led,G7,1400.000,1180.000,55.1181,46.4567
led,G8,1400.000,1380.000,55.1181,54.3307
led,G9,1400.000,1580.000,55.1181,62.2047
led,G10,1400.000,1780.000,55.1181,70.0787
led,G11,1400.000,1980.000,55.1181,77.9528
led,G12,1400.000,2180.000,55.1181,85.8268
led,H1,1600.000,-20.000,62.9921,-0.7874
led,H2,1600.000,180.000,62.9921,7.0866
led,H3,1600.000,380.000,62.9921,14.9606
led,H4,1600.000,580.000,62.9921,22.8346
led,H5,1600.000,780.000,62.9921,30.7087
led,H6,1600.000,980.000,62.9921,38.5827
led,H7,1600.000,1180.000,62.9921,46.4567
led,H8,1600.000,1380.000,62.9921,54.3307
led,H9,1600.000,1580.000,62.9921,62.2047
led,H10,1600.000,1780.000,62.9921,70.0787
led,H11,1600.000,1980.000,62.9921,77.9528
led,H12,1600.000,2180.000,62.9921,85.8268
led,I1,1800.000,-20.000,70.8661,-0.7874
led,I2,1800.000,180.000,70.8661,7.0866
led,I3,1800.000,380.000,70.8661,14.9606
led,I4,1800.000,580.000,70.8661,22.8346
led,I5,1800.000,780.000,70.8661,30.7087
led,I6,1800.000,980.000,70.8661,38.5827
led,I7,1800.000,1180.000,70.8661,46.4567
led,I8,1800.000,1380.000,70.8661,54.3307
led,I9,1800.000,1580.000,70.8661,62.2047
led,I10,1800.000,1780.000,70.8661,70.0787
led,I11,1800.000,1980.000,70.8661,77.9528
led,I12,1800.000,2180.000,70.8661,85.8268
led,J1,2000.000,-20.000,78.7402,-0.7874
led,J2,2000.000,180.000,78.7402,7.0866
led,J3,2000.000,380.000,78.7402,14.9606
led,J4,2000.000,580.000,78.7402,22.8346
led,J5,2000.000,780.000,78.7402,30.7087
led,J6,2000.000,980.000,78.7402,38.5827
led,J7,2000.000,1180.000,78.7402,46.4567
led,J8,2000.000,1380.000,78.7402,54.3307
led,J9,2000.000,1580.000,78.7402,62.2047
led,J10,2000.000,1780.000,78.7402,70.0787
led,J11,2000.000,1980.000,78.7402,77.9528
led,J12,2000.000,2180.000,78.7402,85.8268
led,K1,2200.000,-20.000,86.6142,-0.7874
led,K2,2200.000,180.000,86.6142,7.0866
led,K3,2200.000,380.000,86.6142,14.9606
led,K4,2200.000,580.000,86.6142,22.8346
led,K5,2200.000,780.000,86.6142,30.7087
led,K6,2200.000,980.000,86.6142,38.5827
led,K7,2200.000,1180.000,86.6142,46.4567
led,K8,2200.000,1380.000,86.6142,54.3307
led,K9,2200.000,1580.000,86.6142,62.2047
led,K10,2200.000,1780.000,86.6142,70.0787
led,K11,2200.000,1980.000,86.6142,77.9528
led,K12,2200.000,2180.000,86.6142,85.8268
