part,feature,label,x_from_left_mm,z_from_bottom_mm,diameter_mm,datum
main_upper_left,LED,D12,800.000,962.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,E8,1000.000,162.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,E9,1000.000,362.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,E10,1000.000,562.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,E11,1000.000,762.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,E12,1000.000,962.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,F8,1200.000,162.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,F9,1200.000,362.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,F10,1200.000,562.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,F11,1200.000,762.000,13.000,"finished blank lower-left, climbing face"
main_upper_left,LED,F12,1200.000,962.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,T-nut,G7,182.000,62.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,G8,182.000,262.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,G9,182.000,462.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,G10,182.000,662.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,G11,182.000,862.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,G12,182.000,1062.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,H7,382.000,62.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,H8,382.000,262.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,H9,382.000,462.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,H10,382.000,662.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,H11,382.000,862.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,H12,382.000,1062.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,I7,582.000,62.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,I8,582.000,262.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,I9,582.000,462.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,I10,582.000,662.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,I11,582.000,862.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,I12,582.000,1062.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,J7,782.000,62.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,J8,782.000,262.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,J9,782.000,462.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,J10,782.000,662.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,J11,782.000,862.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,J12,782.000,1062.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,K7,982.000,62.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,K8,982.000,262.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,K9,982.000,462.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,K10,982.000,662.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,K11,982.000,862.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,T-nut,K12,982.000,1062.000,11.112,"finished blank lower-left, climbing face"
main_upper_right,LED,G8,182.000,162.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,G9,182.000,362.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,G10,182.000,562.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,G11,182.000,762.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,G12,182.000,962.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,H8,382.000,162.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,H9,382.000,362.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,H10,382.000,562.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,H11,382.000,762.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,H12,382.000,962.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,I8,582.000,162.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,I9,582.000,362.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,I10,582.000,562.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,I11,582.000,762.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,I12,582.000,962.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,J8,782.000,162.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,J9,782.000,362.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,J10,782.000,562.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,J11,782.000,762.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,J12,782.000,962.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,K8,982.000,162.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,K9,982.000,362.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,K10,982.000,562.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,K11,982.000,762.000,13.000,"finished blank lower-left, climbing face"
main_upper_right,LED,K12,982.000,962.000,13.000,"finished blank lower-left, climbing face"
kicker_left,T-nut,1,100.000,150.000,11.112,"finished blank lower-left, climbing face"
kicker_left,T-nut,2,348.560,150.000,11.112,"finished blank lower-left, climbing face"
kicker_left,T-nut,3,597.120,150.000,11.112,"finished blank lower-left, climbing face"
kicker_left,T-nut,4,845.680,150.000,11.112,"finished blank lower-left, climbing face"
kicker_left,T-nut,5,1094.240,150.000,11.112,"finished blank lower-left, climbing face"
kicker_left,LED,A1,200.000,205.000,13.000,"finished blank lower-left, climbing face"
kicker_left,LED,B1,400.000,205.000,13.000,"finished blank lower-left, climbing face"
kicker_left,LED,C1,600.000,205.000,13.000,"finished blank lower-left, climbing face"
kicker_left,LED,D1,800.000,205.000,13.000,"finished blank lower-left, climbing face"
kicker_left,LED,E1,1000.000,205.000,13.000,"finished blank lower-left, climbing face"
kicker_left,LED,F1,1200.000,205.000,13.000,"finished blank lower-left, climbing face"
kicker_right,T-nut,6,124.800,150.000,11.112,"finished blank lower-left, climbing face"
kicker_right,T-nut,7,373.360,150.000,11.112,"finished blank lower-left, climbing face"
kicker_right,T-nut,8,621.920,150.000,11.112,"finished blank lower-left, climbing face"
kicker_right,T-nut,9,870.480,150.000,11.112,"finished blank lower-left, climbing face"
kicker_right,T-nut,10,1119.040,150.000,11.112,"finished blank lower-left, climbing face"
kicker_right,LED,G1,182.000,205.000,13.000,"finished blank lower-left, climbing face"
kicker_right,LED,H1,382.000,205.000,13.000,"finished blank lower-left, climbing face"
kicker_right,LED,I1,582.000,205.000,13.000,"finished blank lower-left, climbing face"
kicker_right,LED,J1,782.000,205.000,13.000,"finished blank lower-left, climbing face"
kicker_right,LED,K1,982.000,205.000,13.000,"finished blank lower-left, climbing face"
