pair_index,set_pair,pair_id,category,master_owner,slave_owner,quantity,report_index,time_seconds,field_rows_complete,force_xyz_n,moment_global_origin_nmm,centroid_xyz_mm,mean_normal_xyz,moment_at_centroid_nmm,area_mm2,normal_force_signed_n,shear_force_magnitude_n,fields_present
11,WJCP_011,bottom_center/clip_horizontal_bottom_right_1/rail_2/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W01_BASE_RAIL_BOTTOM_RIGHT,M06_A01_NUT_WASHER,CF,31,0.001,True,"[2.006105e-17,-1.722867e-05,-2.053233e-05]","[0.007943481,0.002895671,-0.002429756]","[135.3985,-23.07002,433.8564]","[-3.109304e-13,0.6427876,0.7660444]","[-4.970302e-06,0.0001156228,-9.701907e-05]",25.66815,-2.680306e-05,1.340112e-17,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
11,WJCP_011,bottom_center/clip_horizontal_bottom_right_1/rail_2/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W01_BASE_RAIL_BOTTOM_RIGHT,M06_A01_NUT_WASHER,CFN,32,0.001,True,"[2.006105e-17,-1.722867e-05,-2.053233e-05]","[0.007943481,0.002895671,-0.002429756]","[135.3985,-23.07002,433.8564]","[-3.109304e-13,0.6427876,0.7660444]","[-4.970302e-06,0.0001156228,-9.701907e-05]",25.66815,-2.680306e-05,1.340112e-17,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
11,WJCP_011,bottom_center/clip_horizontal_bottom_right_1/rail_2/nut_washer_to_last_receiver,nut_washer_to_last_receiver,W01_BASE_RAIL_BOTTOM_RIGHT,M06_A01_NUT_WASHER,CFS,33,0.001,True,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[135.3985,-23.07002,433.8564]","[-3.109304e-13,0.6427876,0.7660444]","[0.0,0.0,0.0]",25.66815,0.0,0.0,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
12,WJCP_012,bottom_center/clip_horizontal_bottom_right_1/principal_1/head_washer_to_head,head_washer_to_head,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,M09_A02_HEAD_WASHER,CF,34,0.001,True,"[-0.00186622,3.75326e-18,-3.930684e-18]","[-1.91323e-15,-0.8905091,0.05191198]","[179.982,28.01005,477.2489]","[1.0,-9.679363e-16,3.516077e-15]","[-1.189168e-17,0.0001424523,-0.0003609394]",4.790229,-0.00186622,3.273068e-18,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
12,WJCP_012,bottom_center/clip_horizontal_bottom_right_1/principal_1/head_washer_to_head,head_washer_to_head,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,M09_A02_HEAD_WASHER,CFN,35,0.001,True,"[-0.00186622,3.75326e-18,-3.930684e-18]","[-1.91323e-15,-0.8905091,0.05191198]","[179.982,28.01005,477.2489]","[1.0,-9.679363e-16,3.516077e-15]","[-1.189168e-17,0.0001424523,-0.0003609394]",4.790229,-0.00186622,3.273068e-18,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
12,WJCP_012,bottom_center/clip_horizontal_bottom_right_1/principal_1/head_washer_to_head,head_washer_to_head,M08_A02_BOLT_HEAD_PLUS_SHAFT_UNION,M09_A02_HEAD_WASHER,CFS,36,0.001,True,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[179.982,28.01005,477.2489]","[1.0,-9.679363e-16,3.516077e-15]","[0.0,0.0,0.0]",4.790229,0.0,0.0,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
13,WJCP_013,bottom_center/clip_horizontal_bottom_right_1/principal_1/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M09_A02_HEAD_WASHER,CF,37,0.001,True,"[0.001858126,8.993298e-19,6.466934e-19]","[-4.152716e-16,0.8866974,-0.05162317]","[177.95,30.21663,476.4042]","[-1.0,1.43866e-16,-2.83411e-16]","[-6.368024e-18,0.001478331,0.004523138]",25.65558,-0.001858126,1.172814e-18,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
13,WJCP_013,bottom_center/clip_horizontal_bottom_right_1/principal_1/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M09_A02_HEAD_WASHER,CFN,38,0.001,True,"[0.001858126,8.993298e-19,6.466934e-19]","[-4.152716e-16,0.8866974,-0.05162317]","[177.95,30.21663,476.4042]","[-1.0,1.43866e-16,-2.83411e-16]","[-6.368024e-18,0.001478331,0.004523138]",25.65558,-0.001858126,1.172814e-18,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
13,WJCP_013,bottom_center/clip_horizontal_bottom_right_1/principal_1/head_washer_to_first_receiver,head_washer_to_first_receiver,W00_BOTTOM_CENTER_RIGHT_CLEAT,M09_A02_HEAD_WASHER,CFS,39,0.001,True,"[0.0,0.0,0.0]","[0.0,0.0,0.0]","[177.95,30.21663,476.4042]","[-1.0,1.43866e-16,-2.83411e-16]","[0.0,0.0,0.0]",25.65558,0.0,0.0,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
14,WJCP_014,bottom_center/clip_horizontal_bottom_right_1/principal_1/nut_washer_to_nut,nut_washer_to_nut,M11_A02_NUT,M10_A02_NUT_WASHER,CF,40,0.001,True,"[0.001952292,-9.452305e-19,-1.327101e-18]","[3.959158e-16,0.9176674,-0.07022315]","[48.918,35.38954,469.9981]","[-1.0,6.878377e-16,4.361126e-16]","[-1.375322e-18,9.385569e-05,-0.00113244]",8.367122,-0.001952292,6.199855e-19,"total surface force (fx,fy,fz) and moment about the origin (mx,my,mz) | center of gravity and mean normal | moment about the center of gravity(mx,my,mz) | area,  normal force (+ = tension) and shear force (size)"
